334900.0,"7715 S Wood St, Chicago, IL 60620",5.0,1140.0
299900.0,"5632 N Mango Ave, Chicago, IL 60646",4.0,2000.0
1300000.0,"5954 N Paulina St, Chicago, IL 60660",5.0,3900.0
289900.0,"8241 S Lasalle St, Chicago, IL 60603",3.0,1080.0
339888.0,"1525 S Michigan Ave APT 111, Chicago, IL 60605",2.0,1189.0
499900.0,"300 N State St #4432-4433, Chicago, IL 60654",2.0,1450.0
245000.0,"2854 W Harrison St #A, Chicago, IL 60612",3.0,1480.0
399900.0,"722 N Trumbull Ave, Chicago, IL 60624",5.0,2250.0
519000.0,"1230 N State Pkwy APT 7A, Chicago, IL 60610",2.0,1200.0
600000.0,"2529 N Halsted St APT 2S, Chicago, IL 60614",2.0,1800.0
350000.0,"2430 N Southport Ave APT 2R, Chicago, IL 60614",2.0,1717.0
324900.0,"6118 W Dakin St, Chicago, IL 60634",6.0,2160.0
275000.0,"5757 N Sheridan Rd APT 6B, Chicago, IL 60660",2.0,1200.0
375000.0,"1133 N Monitor Ave, Chicago, IL 60651",5.0,3875.0
610000.0,"2339 N Commonwealth Ave APT 1D, Chicago, IL 60614",3.0,1800.0
189999.0,"4329 S Wood St, Chicago, IL 60609",5.0,2500.0
149900.0,"1471 E 69th St #3, Chicago, IL 60637",2.0,1300.0
230000.0,"3100 N Lake Shore Dr APT 604, Chicago, IL 60657",2.0,800.0
500000.0,"881 W Cornelia Ave #1, Chicago, IL 60657",4.0,2000.0
349900.0,"625 W Jackson Blvd APT 208, Chicago, IL 60661",2.0,1286.0
360000.0,"5440 W Cullom Ave, Chicago, IL 60641",4.0,1272.0
179000.0,"6551 N Damen Ave #1, Chicago, IL 60626",2.0,850.0
835000.0,"1422 N Hoyne Ave #1, Chicago, IL 60622",4.0,2400.0
199900.0,"5150 S King Dr APT A1, Chicago, IL 60615",3.0,1710.0
539900.0,"9841 S Leavitt St, Chicago, IL 60643",3.0,2368.0
650000.0,"1903 W Armitage Ave APT 1W, Chicago, IL 60622",3.0,2000.0
